D00332,C1CCC(CC1)(CC(=O)O)CN
ZINC27191322,C1=C(C(=O)NC(=O)N1CC(C(=O)O)N)[N+](=O)[O-]
ZINC96142463,CCCC(=O)C1=C(SC(C1=O)(C)C=C(C)C=C)O
ZINC13809235,CCCC1N=C(N=C(N1C2=CC=C(C=C2)C)N)N
ZINC26475560,CC(C)N1CCC(C2=C1C=CC(=C2)C#CC3=CC=C(C=C3)C(=O)O)(C)C
D00371,CN1C2=C(C(=O)N(C1=O)C)NC=N2
ZINC58592660,C1C(C(CN1)OC2=CC=CC(=C2)OC3=CC=C(C=C3)F)CC4=NC(=CC=C4)N
D00960,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
ZINC22448983,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
D03784,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.Cl
D00519,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
D00411,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
D02579,CC(C)NNC(=O)C1=CC=NC=C1
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
D00437,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
D01132,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
D00513,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
ZINC26504752,CC(C(=O)O)NC(=O)C(=O)C1=CNC2=C1C=C(C=C2)OC
ZINC29136278,C1=CC=C(C=C1)OCC2=CC=C(C=C2)CCC(=O)C3=NC=C(O3)C(=O)N
ZINC40952243,C1=CSC2=C1N(C(=O)NC2=O)CC(C(=O)O)N
D00421,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
ZINC02568218,C1C(C1C(=O)O)C(C(=O)O)N
D01718,COC1=CC=C(C=C1)C2=C(ON=C2C3=CC=C(C=C3)OC)CC(=O)O
ZINC96284830,CC(C1=CC=CC=C1)NC2=NC(=CN=C2N)C3=CC(=CC=C3)C(=O)O
ZINC89470092,C1=CC=C(C=C1)C(=O)NC2=NC=NC3=C2N=CN3C4C(C(C(C(O4)O)O)F)O
ZINC27203392,CC(C1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)OC3=CC=CC=C3)NC(=O)CNC(=O)NC4=CC=C(C=C4)C(=N)N
D02451,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
ZINC14971508,COC1=CC=CC(=C1)C(=O)NC(CCC2CCCCC2)C(=O)NC(CN3CCC4=C3C=CC(=C4)F)COCC5=CC=CC=C5
ZINC43598674,CCCCCCCCC1C(S1)CCCCCCCC(=O)O
ZINC05127754,C1CCC2=C(C1)C3=C(S2)N=C(NC3=O)C4=CC(=CC=C4)O
ZINC13488088,C1CCC(CC1)N(C2CCCCC2)S(=O)(=O)N
ZINC95584000,C1=CC2=CC(=CC3=C2C(=C1)C(=O)OC3=O)NC(=O)C4=CC(=C(C=C4)Cl)[N+](=O)[O-]
ZINC89470221,CC1(CC(CC(N1[O-])(C)C)NC(=O)CC2=CC=C(C=C2)CN(C)CC#C)C
ZINC13780458,C1=CC(=CC(=C1)N=C(C2=CC=CO2)N)CN
ZINC13517994,C1=CC(=CC=C1CCN)NCC(CCCN=C(N)N[N+](=O)[O-])N
D00726,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
ZINC13525807,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)CN)O
D00494,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
D04023,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)C#C)OCCOC.Cl
ZINC14979940,C1=CC=C(C=C1)NC2=CC=C(C=C2)CCC(=O)C3=NC=C(O3)C4=CC=CC=N4
D00560,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
ZINC27558682,C1=CC=C(C(=C1)CSCC(=O)C(CC(=O)O)NC(=O)C2=CN=C(N=C2)CNS(=O)(=O)C3=CC(=C(C=C3)O)C(=O)O)Cl
ZINC26745053,C(CC(C(=O)O)C(=O)O)C(CS)N
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
D05246,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
D7K,CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C3=CC=CC=C3)(O)P(=O)(O)OC)CCOP(=O)(O)OP(=O)(O)O
D00726,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
D00437,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ZINC96284823,CC(C1=CC=CC=C1)NC2=NC(=CN=C2N)C3=CC(=NC=C3)C(=O)O
ZINC28384250,CCOC1=NC(=NC(=N1)NCCC2=CC=C(C=C2)S(=O)(=O)N)OCC
D00160,C(CCC(=O)O)CCN
D00316,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C
